movieid,clientid,rate
01J4Z1K7N3P8Q2W5R6T9V0X1Y2,01J5B3C9D5E0F7G8H9I0J1K2L3,4
01J4Z1K7N3P8Q2W5R6T9V0X1Y3,01J5B3C9D5E0F7G8H9I0J1K2L3,5
01J4Z1K7N3P8Q2W5R6T9V0X1Y4,01J5B3C9D5E0F7G8H9I0J1K2L3,1
01J4Z1K7N3P8Q2W5R6T9V0X1Y7,01J5B3C9D5E0F7G8H9I0J1K2L4,5
01J4Z1K7N3P8Q2W5R6T9V0X1Z0,01J5B3C9D5E0F7G8H9I0J1K2L5,3
01J4Z1K7N3P8Q2W5R6T9V0X1Z2,01J5B3C9D5E0F7G8H9I0J1K2L5,5
01J4Z1K7N3P8Q2W5R6T9V0X1Z5,01J5B3C9D5E0F7G8H9I0J1K2L6,2
01J4Z1K7N3P8Q2W5R6T9V0X1Z6,01J5B3C9D5E0F7G8H9I0J1K2L6,4
01J4Z1K7N3P8Q2W5R6T9V0X1Z7,01J5B3C9D5E0F7G8H9I0J1K2L7,3
01J4Z1K7N3P8Q2W5R6T9V0X2A0,01J5B3C9D5E0F7G8H9I0J1K2L8,5
01J4Z1K7N3P8Q2W5R6T9V0X2A2,01J5B3C9D5E0F7G8H9I0J1K2L9,1
01J4Z1K7N3P8Q2W5R6T9V0X2A3,01J5B3C9D5E0F7G8H9I0J1K2L9,4
01J4Z1K7N3P8Q2W5R6T9V0X2A4,01J5B3C9D5E0F7G8H9I0J1K2M0,3
01J4Z1K7N3P8Q2W5R6T9V0X2A7,01J5B3C9D5E0F7G8H9I0J1K2M1,5
01J4Z1K7N3P8Q2W5R6T9V0X2A8,01J5B3C9D5E0F7G8H9I0J1K2M1,2
01J4Z1K7N3P8Q2W5R6T9V0X2B0,01J5B3C9D5E0F7G8H9I0J1K2M2,4
01J4Z1K7N3P8Q2W5R6T9V0X2B2,01J5B3C9D5E0F7G8H9I0J1K2M3,3
01J4Z1K7N3P8Q2W5R6T9V0X2B4,01J5B3C9D5E0F7G8H9I0J1K2M4,5
01J4Z1K7N3P8Q2W5R6T9V0X2B7,01J5B3C9D5E0F7G8H9I0J1K2M6,3
01J4Z1K7N3P8Q2W5R6T9V0X2B8,01J5B3C9D5E0F7G8H9I0J1K2M7,4
01J4Z1K7N3P8Q2W5R6T9V0X2C0,01J5B3C9D5E0F7G8H9I0J1K2M8,1
01J4Z1K7N3P8Q2W5R6T9V0X2C2,01J5B3C9D5E0F7G8H9I0J1K2M9,5
01J4Z1K7N3P8Q2W5R6T9V0X2C4,01J5B3C9D5E0F7G8H9I0J1K2N0,3
01J4Z1K7N3P8Q2W5R6T9V0X2C6,01J5B3C9D5E0F7G8H9I0J1K2N1,5
01J4Z1K7N3P8Q2W5R6T9V0X2D0,01J5B3C9D5E0F7G8H9I0J1K2N3,4
01J4Z1K7N3P8Q2W5R6T9V0X2D2,01J5B3C9D5E0F7G8H9I0J1K2N4,3
01J4Z1K7N3P8Q2W5R6T9V0X2D4,01J5B3C9D5E0F7G8H9I0J1K2N5,5
01J4Z1K7N3P8Q2W5R6T9V0X2D6,01J5B3C9D5E0F7G8H9I0J1K2N6,2
